,name,value
1189,cymbal,0.95982945
1190,jazz,0.9566499
1191,guitar,0.95025015
1192,people,0.9405292
1193,bass,0.93371665
1194,rhythm,0.9336877
1195,group,0.92100716
1196,pop music,0.919655
1197,music,0.99957514
1198,performance,0.9978127
1199,concert,0.99779856
1200,percussion instrument,0.99745613
1201,musician,0.9967991
1202,instrument,0.9930569
1203,drum,0.9919025
1204,drummer,0.99148107
1205,band,0.9914346
1206,festival,0.9894438
1207,stage,0.9807391
1208,singer,0.9683707
1209,people,0.9581392
1210,guitar,0.95364344
1211,jazz,0.94694674
1212,rhythm,0.92291194
1213,one,0.91258943
1214,bass,0.9102185
1215,microphone,0.90760434
1216,man,0.9010345
1217,music,0.99937415
1218,performance,0.9986138
1219,concert,0.99757767
1220,musician,0.9962407
1221,percussion instrument,0.99352145
1222,band,0.99033725
1223,drummer,0.9880624
1224,festival,0.9876417
1225,drum,0.98762226
1226,instrument,0.98527443
1227,stage,0.97475326
1228,singer,0.9671488
1229,people,0.9552882
1230,rhythm,0.9180136
1231,one,0.91620654
1232,jazz,0.91165674
1233,guitar,0.9034864
1234,music,0.99208933
1235,performance,0.99168897
1236,concert,0.9871655
1237,musician,0.954627
1238,singer,0.94858634
1239,band,0.9418452
1240,people,0.93677974
1241,stage,0.90454364
1242,ball-shaped,0.9719993
1243,dark,0.9566457
